DSIDP TDX-ORB-3-RSO+CTS-RSG_2019_066_22_00_2019_067_12_00
COMENT TerraSAR-X SST Two-Step Processing
COMENT For best results cut the orbit to the period
COMENT 22:50:00 - 10:50:00
COSPAR 2010-030A
PERIOD  70045 79251184000  70055 43281184000
INIREV 48306
OBSINF SLR n = 85
OBSINF GPC n = 11692
OBSINF GPP n = 11692
PARAMS MNA EX  EY  EZ  EXD EYD EZD BTC BTS BTD BTT BNC BNS BND BNT
QUALCO Sta_Dev_Initial_Elements = 93 103 63 mm, 231 243 172 mu/s
QUALCO RMS_Obs_Laser            = 31 mm; n = 85,  elim = 0
QUALCO RMS_Obs_GPScode          = 460 mm; n = 11107, elim = 585
QUALCO RMS_Obs_GPSphase         = 6 mm; n = 11107, elim = 585
TFRAME TT
TT-UTC 69184 ms
RFRAME CTS
MRELAT  Post Newt. IERS-2003
MNUTAT  IAU200OA compl.+off.
MPOTER  COMB-Projekt D1 + CH
MPOLUN  FERRARI77
METID   IERS-Conv. (1996)
MOTID   EOT11a, Load Love Nu
MATMOS  DTM 94bis
MALBED  No Albedo
MEPHEM  DE200/LE200
COMENT The ORBIT line marks end of the header and start of the trajectory records
 7004583811184000 -1529385680  4088488691  5318847211 -2654538632 60565213840-47195933520      0      0  -2000    0 LD 
 7004583841184000 -1536117710  4267931865  5174356998 -1834166581 59052045185-49122065670      0      0  -2000    0 LD 
 7004583871184000 -1540395392  4442732666  5024168731 -1018506808 57470582912-50994285684      0      0  -2000    0 LD 
 7004583901184000 -1542234651  4612688810  4868447274  -208747049 55822571056-52810518186      0      0  -2000    0 LD 
 7004583931184000 -1541654949  4777603364  4707363626   593939021 54109833393-54568748803      0      0  -2000    0 LD 
 7004583961184000 -1538679249  4937284983  4541094737  1388393634 52334271308-56267025742      0      0  -2000    0 LD 
 7004583991184000 -1533333959  5091548143  4369823314  2173476893 50497862376-57903462153      0      0  -2000    0 LD 
 7004584021184000 -1525648880  5240213359  4193737626  2948068196 48602657291-59476238964      0      0  -2000    0 LD 
 7004584051184000 -1515657144  5383107408  4013031293  3711066565 46650776679-60983605790      0      0  -2000    0 LD 
 7004584081184000 -1503395155  5520063531  3827903084  4461390981 44644410313-62423881958      0      0  -3000    0 LD 
 7004584111184000 -1488902532  5650921641  3638556702  5197981663 42585816648-63795459683      0      0  -3000    0 LD 
